Date,,Site,Location,Total Coliforms ,Total Coliforms ,Total _Coliforms ,E. coli,E. coli,E_coli,Incubation,Date,pH,,Dilution ,,,,,,,,,,,,,
3/26/2025 ,,PEAV@OLDB,Site_1_PEAV@OLDB,17/48,49/49,2909,3/48,16/49,226,3/26/2025 2:03 PM  35.0°C,3/27/2025 2:31 PM  35.0°C,7.641,2.24,1:10,,,,,,,,,,,,,
3/26/2025 ,,PEAV@NDEC,Site_2_PEAV@NDEC,21/48,49/49,3654,2/48,17/49,228,3/26/2025 2:03 PM  35.0°C,3/27/2025 2:31 PM  35.0°C,7.477,1.65,1:10,,,,,,,,,,,,,
3/25/2025,,PEAV@VICK,Site_3_PEAV@VICK,32/48,49/49,6867,9/48,39/49,909,3/25/2025 2:14 PM  35.0°C,3/26/2025 2:28 PM  35.0°C,7.575,2.75,1:10,,,,,,,,,,,,,
3/26/2025,,LULL@LULL,Site_4_LULL@LULL,46/48,49/49,19863,4/48,16/49,238,3/26/2025 2:04 PM  35.0°C,3/27/2025 2:31 PM  35.0°C,7.701,4.43,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,45/48,49/49,17329,4/48,34/49,613,4/9/2025 2:17 PM  35.0°C,4/10/2025 2:50 PM  35.0°C,7.418,3.17,1:10,,,,,,,,,,,,,
4/9/2025,,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,>24196.0,3/48,36/49,657,4/8/2025 12:24 PM  34.1°C,4/9/2025 1:20 PM  35.0°C,7.526,5.10,1:10,,,,,,,,,,,,,
4/9/2025,,LULL@LULL,Site_4_LULL@LULL,34/48,49/49,7701,0/48,9/49,98,4/8/2025 12:24 PM  34.1°C,4/9/2025 1:20 PM  35.0°C,7.443,6.23,1:10,,,,,,,,,,,,,
4/9/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,46/48,49/49,19863,4/48,31/49,529,4/8/2025 12:24 PM  34.1°C,4/9/2025 1:20 PM  35.0°C,7.550,1.56,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,30/48,49/49,6131,0/48,15/49,175,4/23/2025 1:05 PM  35 °C,4/24/2025 1:15 PM  35 °C,7.58,2.34,1:10,,,,,,,,,,,,,
4/22/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,32/48,49/49,6867,2/48,14/49,185,4/22/2025 1:09PM  35 °C,4/23/2025 1:20 PM  35 °C,7.57,2.85,1:10,,,,,,,,,,,,,
4/22/2025,,PEAV@VICK,Site_3_PEAV@VICK,39/48,49/49,10462,6/48,32/49,591,4/22/2025 1:09PM  35 °C,4/23/2025 1:20 PM  35 °C,7.49,1.97,1:10,,,,,,,,,,,,,
4/23/2025,,LULL@LULL,Site_4_LULL@LULL,33/48,49/49,7270,2/48,13/49,171,4/23/2025 1:05 PM  35 °C,4/24/2025 1:15 PM  35 °C,7.47,1.55,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,46/48,49/49,19863,8/48,46/49,1376,5/7/2025 2:23 PM  35 °C,5/7/2025 2:46 PM  35 °C,7.33,2.04,1:10,,,,,,,,,,,,,
5/7/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,48/48,49/49,>24196.0,32/48,49/49,6867,5/7/2025 2:23 PM  35 °C,5/7/2025 2:46 PM  35 °C,7.40,1.89,1:10,,,,,,,,,,,,,
,,PEAV@VICK,Site_3_PEAV@VICK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
5/7/2025,,LULL@LULL,Site_4_LULL@LULL,48/48,49/49,>24196.0,32/48,49/49,6867,5/7/2025 2:23 PM  35 °C,5/7/2025 2:46 PM  35 °C,7.45,2.91,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,48/48,49/49,>24196.0,34/48,49/49,770.1,5/21/2025 1:25 PM  35 °C,5/22/2025 2:24 PM  35 °C,7.33,8.52,1:10,,,,,,,,,,,,,
5/21/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,48/48,49/49,>24196.0,39/48,49/49,1046.2,5/21/2025 1:25 PM  35 °C,5/22/2025 2:24 PM  35 °C,7.46,18.7,1:10,,,,,,,,,,,,,
5/20/2025,,PEAV@VICK,Site_3_PEAV@VICK,42/48,49/49,>24196.0,0/48,27/49,379.0,5/20/2025 11:48 am PM  35 °C,5/21/2025 1:15 PM  35 °C,7.62,2.86,1:10,,,,,,,,,,,,,
5/21/2025,,LULL@LULL,Site_4_LULL@LULL,48/48,49/49,>24196.0,17/48,49/49,920.8,5/21/2025 1:25 PM  35 °C,5/22/2025 2:24 PM  35 °C,7.44,19.3,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,43/48,49/49,14136.0,4/48,19/49,285.0,6/4/2025 2:13 PM  35 °C,6/5/2025 2:37 PM  35 °C,7.459,2.69,1:10,,,,,,,,,,,,,
6/4/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,46/48,49/49,19863.0,3/48,20/49,288.0,6/4/2025 2:13 PM  35 °C,6/5/2025 2:37 PM  35 °C,7.583,3.19,1:10,,,,,,,,,,,,,
6/3/2025,,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,>24196.0,44/48,49/49,15531.0,6/3/2025 1:25 PM  35 °C,6/4/2025 2:11 PM  35 °C,7.423,2.54,1:10,,,,,,,,,,,,,
6/4/2025,,LULL@LULL,Site_4_LULL@LULL,39/48,49/49,10462.0,1/48,25/49,350.0,6/4/2025 2:13 PM  35 °C,6/5/2025 2:37 PM  35 °C,7.461,1.93,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,46/48,49/49,19863.0,8/48,39/49,884.0,6/18/2025 1:45 PM  35 °C,6/19/2025 2:23 PM  35 °C,7.486,9.28,1:10,,,,,,,,,,,,,
6/18/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,47/48,49/49,24196,8/48,40/49,933.0,6/18/2025 1:45 PM  35 °C,6/19/2025 2:23 PM  35 °C,7.322,9.88,1:10,,,,,,,,,,,,,
6/17/2025,,PEAV@VICK,Site_3_PEAV@VICK,46/48,49/49,19863.0,3/48,29/49,464.0,6/17/2025 12:00 PM  35 °C,6/18/2025 1:05 PM  35 °C,7.496,3.76,1:10,,,,,,,,,,,,,
6/18/2025,,LULL@LULL,Site_4_LULL@LULL,47/48,49/49,24196.0,4/48,39/49,789.0,6/18/2025 1:45 PM  35 °C,6/19/2025 2:23 PM  35 °C,7.542,10.9,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2025,,PEAV@OLDB,Site_1_PEAV@OLDB,40/48,49/49,11199.0,2/48,18/49,243.0,7/16/2025 2:56 PM  35 °C,7/17/2025 3:05 PM  35 °C,7.119,2.87,1:10,,,,,,,,,,,,,
7/15/2025,,PEAV@NDEC,Site_2_PEAV@NDEC,44/48,49/49,15531.0,2/48,20/49,275.0,7/15/2025 11:08 PM  35 °C,7/16/2025 11:58 PM  35 °C,7.462,3.34,1:10,,,,,,,,,,,,,
7/22/2025,,PEAV@VICK,Site_3_PEAV@VICK,46/48,49/49,19863.0,7/48,44/49,1153.0,7/22/2025 12:00 PM  35 °C,7/23/2025 02:54 PM  35 °C,7.267,5.25,1:10,,,,,,,,,,,,,
7/16/2025,,LULL@LULL,Site_4_LULL@LULL,45/48,49/49,17329.0,3/48,21/49,305.0,7/16/2025 1:00 PM  35 °C,7/17/2025 3:05 PM  35 °C,7.540,3.35,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2025,11:50 AM,PEAV@OLDB,Site_1_PEAV@OLDB,46/48,49/49,19863,1/48,11/49,134,7/30/2025 1:42 PM  35 °C,7/31/2025 3:30 PM  35 °C,7.437,2.45,1:10,,,,,,,,,,,,,
7/29/2025,9:20 AM,PEAV@NDEC,Site_2_PEAV@NDEC,47/48,49/49,>24196.0,1/48,13/49,160,7/29/2025 12:51 PM  35 °C,7/30/2025 1:18 PM  35 °C,7.518,21.9,1:10,,,,,,,,,,,,,
7/30/2025,10:15 AM,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,>24196.0,15/48,48/49,2187,7/30/2025 1:42 PM  35 °C,7/31/2025 2:30 PM  35 °C,7.505,5.15,1:10,,,,,,,,,,,,,
7/16/2025,N/A,LULL@LULL,Site_4_LULL@LULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2025,11:45 AM,PEAV@OLDB,Site_1_PEAV@OLDB,45/48,49/49,17329.0,2/48,18/49,243.0,8/13/2025 12:19 PM  35 °C,8/14/2025 1:05 PM  35 °C,7.889,1.91,1:10,,,,,,,,,,,,,
8/13/2025,8:45 AM,PEAV@NDEC,Site_2_PEAV@NDEC,44/48,49/49,15531.0,2/48,29/49,448.0,8/13/2025 12:19 PM  35 °C,8/13/2025 12:19 PM  35 °C,7.755,3.23,1:10,,,,,,,,,,,,,
8/13/2025,10:15 AM,PEAV@VICK,Site_3_PEAV@VICK,38/48,49/49,9804.0,11/48,44/49,1296.0,8/13/2025 12:19 PM  35 °C,8/13/2025 12:19 PM  35 °C,7.978,2.30,1:10,,,,,,,,,,,,,
8/13/2025,10:30 AM,LULL@LULL,Site_4_LULL@LULL,44/48,49/49,15531.0,3/48,20/49,288.0,8/13/2025 12:19 PM  35 °C,8/13/2025 12:19 PM  35 °C,7.782,2.68,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2025,11:30 AM,PEAV@OLDB,Site_1_PEAV@OLDB,42/48,49/49,12997.0,1/48,19/49,246.0,8/272025 1:52 PM  35 °C,8/28/2025 4:04 PM  35 °C,6.715,1.43,1:10,,,,,,,,,,,,,
8/27/2025,9:30 AM,PEAV@NDEC,Site_2_PEAV@NDEC,37/48,49/49,9208.0,3/48,12/49,169.0,8/272025 1:52 PM  35 °C,8/28/2025 4:04 PM  35 °C,7.12,,1:10,,,,,,,,,,,,,
8/26/2025,12:35 AM,PEAV@VICK,Site_3_PEAV@VICK,40/48,49/49,11199.0,4/48,21/49,318.0,8/26/2025 2:02 PM  35 °C,8/27/2025 2:30 PM  35 °C,7.210,2.57,1:10,,,,,,,,,,,,,
8/26/2025,9:40 AM,LULL@LULL,Site_4_LULL@LULL,39/48,49/49,10962.0,2/48,19/49,259.0,8/26/2025 2:02 PM  35 °C,8/27/2025 2:30 PM  35 °C,7.107,1.02,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2025,1:30 PM,PEAV@OLDB,Site_1_PEAV@OLDB,42/48,49/49,12997.0,1/48,19/49,246.0,9/10/2025 3:46 PM  35 °C,9/11/2025 4:15 PM  35 °C,7.120,1.17,1:10,,,,,,,,,,,,,
9/9/2025,9:25 AM,PEAV@NDEC,Site_2_PEAV@NDEC,44/48,49/49,15531.0,2/48,21/49,292.0,9/9/2025 1:56 PM  35 °C,9/10/2025 3:46 PM  35 °C,6.726,5.40,1:10,,,,,,,,,,,,,
9/10/2025,10:00 AM,PEAV@VICK,Site_3_PEAV@VICK,45/48,49/49,17329.0,7/48,38/49,816.0,9/10/2025 3:46 PM  35 °C,9/11/2025 4:15 PM  35 °C,7.010,2.30,1:10,,,,,,,,,,,,,
9/9/2025,9:55 AM,LULL@LULL,Site_4_LULL@LULL,34/48,49/49,10962.0,1/48,11/49,134.0,9/9/2025 1:56 PM  35 °C,9/10/2025 3:46 PM  35 °C,7.120,1.96,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2025,11:30 AM,PEAV@OLDB,Site_1_PEAV@OLDB,44/48,49/49,15531.0,0/48,11/49,122.0,9/24/2025 3:37 PM  35 °C,9/25/2025 4:15 PM  35 °C,6.833,2.12,1:10,,,,,,,,,,,,,
9/23/2025,9:30 AM,PEAV@NDEC,Site_2_PEAV@NDEC,48/48,49/49,> 24196.0,1/48,14/49,173.0,9/23/2025 12:31 PM  35 °C,9/23/2025 3:20 PM  35 °C,6.807,2.04,1:10,,,,,,,,,,,,,
9/24/2025,11:00 AM,PEAV@VICK,Site_3_PEAV@VICK,44/48,49/49,15531.0,5/48,18/49,281.0,9/24/2025 3:37 PM  35 °C,9/25/2025 4:15 PM  35 °C,6.573,2.27,1:10,,,,,,,,,,,,,
9/23/2025,9:17 AM,LULL@LULL,Site_4_LULL@LULL,27/48,48/49,3784.0,0/48,1/49,10.0,9/23/2025 12:56 PM  35 °C,9/23/2025 3:20 PM  35 °C,6.907,1.46,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2025,10:52 AM,PEAV@OLDB,Site_1_PEAV@OLDB,44/48,49/49,15531.0,3/48,10/49,144.0,10/8/2025 12:09 PM  35 °C,10/8/2025 2:09 PM  35 °C,7.537,1.37,1:10,,,,,,,,,,,,,
10/8/2025,9:10 AM,PEAV@NDEC,Site_2_PEAV@NDEC,45/48,49/49,17329.0,2/48,13/49,171.0,10/8/2025 12:09 PM  35 °C,10/8/2025 2:09 PM  35 °C,7.027,2.08,1:10,,,,,,,,,,,,,
10/8/2025,9:30 AM,PEAV@VICK,Site_3_PEAV@VICK,46/48,49/49,19863.0,9/48,40/49,959.0,10/8/2025 12:09 PM  35 °C,10/8/2025 2:09 PM  35 °C,7.065,1.37,1:10,,,,,,,,,,,,,
10/8/2025,10:35 AM,LULL@LULL,Site_4_LULL@LULL,35/48,49/49,8164.0,1/48,12/49,146.0,10/8/2025 12:09 PM  35 °C,10/8/2025 2:09 PM  35 °C,7.198,1.54,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2025,10:30 AM,PEAV@OLDB,Site_1_PEAV@OLDB,17/48,49/49,2909.0,0/48,3/49,31.0,10/22/2025 2:45 PM  35 °C,10/23/2025 3:00 PM  35 °C,7.014,2.07,1:10,,,,,,,,,,,,,
10/22/2025,9:10 AM,PEAV@NDEC,Site_2_PEAV@NDEC,37/48,49/49,9208.0,1/48,7/49,63.0,10/22/2025 2:45 PM  35 °C,10/23/2025 3:00 PM  35 °C,6.907,2.62,1:10,,,,,,,,,,,,,
10/22/2025,8:10 AM,PEAV@VICK,Site_3_PEAV@VICK,28/48,49/49,5475.0,0/48,16/49,189.0,10/22/2025 2:45 PM  35 °C,10/23/2025 3:00 PM  35 °C,7.184,1.80,1:10,,,,,,,,,,,,,
10/21/2025,9:55 AM,LULL@LULL,Site_4_LULL@LULL,48/48,49/49,> 24196.0,38/48,49/49,9804.0,10/21/2025 2:46 PM  35 °C,10/22/2025 3:00 PM  35 °C,6.754,2.09,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/05/2025,10:30 AM,PEAV@OLDB,Site_1_PEAV@OLDB,15/48,49/49,2613.0,0/48,3/49,31.0,11/05/2025 1:05 PM  35 °C,11/06/2025 2:37 PM  35 °C,7.514,1.85,1:10,,,,,,,,,,,,,
11/04/2025,11:35 AM,PEAV@NDEC,Site_2_PEAV@NDEC,18/48,49/49,3076.0,1/48,12/49,146.0,11/05/2025 1:50 PM  35 °C,11/05/2025 4:10 PM  35 °C,6.974,4.96,1:10,,,,,,,,,,,,,
11/05/2025,10:45 AM,PEAV@VICK,Site_3_PEAV@VICK,41/48,49/49,12033.0,4/48,38/49,749.0,11/05/2025 1:05 PM  35 °C,11/06/2025 2:37 PM  35 °C,7.043,2.47,1:10,,,,,,,,,,,,,
11/04/2025,9:55 AM,LULL@LULL,Site_4_LULL@LULL,18/48,49/49,3076.0,1/48,10/49,121.0,11/05/2025 1:50 PM  35 °C,11/05/2025 4:10 PM  35 °C,6.724,1.96,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2025,11:30 AM,PEAV@OLDB,Site_1_PEAV@OLDB,35/48,49/49,8164.0,1/48,4/49,52.0,11/19/2025 1:50 PM  35 °C,11/20/2025 2:00 PM  35 °C,6.872,1.77,1:10,,,,,,,,,,,,,
11/18/2025,8:30 AM,PEAV@NDEC,Site_2_PEAV@NDEC,47/48,49/49,> 24196.0,3/48,23/49,341.0,11/18/2025 1:37 PM  35 °C,11/19/2025 2:10 PM  35 °C,6.616,2.58,1:10,,,,,,,,,,,,,
11/19/2025,9:00 AM,PEAV@VICK,Site_3_PEAV@VICK,28/48,49/49,8164.0,5/48,23/49,323,11/19/2025 1:50 PM  35 °C,11/20/2025 2:00 PM  35 °C,7.043,1.28,1:10,,,,,,,,,,,,,
11/18/2025,9:45 AM,LULL@LULL,Site_4_LULL@LULL,28/48,49/49,5475.0,0/48,6/49,63.0,11/18/2025 1:37 PM  35 °C,11/19/2025 2:10 PM  35 °C,6.422,3.46,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2025,No Samples,PEAV@OLDB,Site_1_PEAV@OLDB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
12/3/2025,8:15 AM,PEAV@NDEC,Site_2_PEAV@NDEC,47/48,49/49,> 24196.0,2/48,32/49,521.0,12/3/2025 1:27 PM  35 °C,12/4/2025 2:15 PM  35 °C,7.417,8.54,1:10,,,,,,,,,,,,,
12/3/2025,9:30 AM,PEAV@VICK,Site_3_PEAV@VICK,48/48,49/49,> 24196.0,11/48,47/49,1664.0,12/3/2025 1:27 PM  35 °C,12/4/2025 2:15 PM  35 °C,7.505,5.19,1:10,,,,,,,,,,,,,
12/3/2025,12:45 AM,LULL@LULL,Site_4_LULL@LULL,39/48,49/49,10462.0,38/48,21/49,279.0,12/3/2025 1:27 PM  35 °C,12/4/2025 2:15 PM  35 °C,6.817,3.74,1:10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2025,11:45 AM,PEAV@OLDB,Site_1_PEAV@OLDB,15/48,49/49,2420.0,2/48,9/49,18.2,12/18/2025 12:17 PM  35 °C,12/19/2025 2:00 PM  35 °C,7.199,3.99,1:10,,,,,,,,,,,,,
12/17/2025,8:15 AM,PEAV@NDEC,Site_2_PEAV@NDEC,15/48,48/49,2187.0,1/48,11/49,134.0,12/17/2025 3:12 PM  35 °C,12/18/2025 3:23 PM  35 °C,6.888,2.55,1:10,,,,,,,,,,,,,
12/17/2025,11:30 AM,PEAV@VICK,Site_3_PEAV@VICK,36/48,49/49,8664.0,11/48,36/49,823.0,12/17/2025 3:12 PM  35 °C,12/18/2025 3:23 PM  35 °C,7.434,2.21,1:10,,,,,,,,,,,,,
12/17/2025,11:30 AM,PEAV@VICK,Site_3_PEAV@VICK_TRIBUTARY,9/48,49/49,1956.0,0/48,3/49,31.0,12/17/2025 3:12 PM  35 °C,12/18/2025 3:23 PM  35 °C,7.190,1.03,1:10,,,,,,,,,,,,,
